event,ml_odds,dec_odds,bet,implied_prob,payout,override,profit,expected_value
mia_min_sixers,866.0,9.66,0.0143,0.10351966873706005,0.1379,0,0.02,0.002070393374741201
mia_min_sd,785.5,8.855,0.0156,0.11293054771315642,0.1379,0,0.02,0.0022586109542631285
ny_sixers_was,734.6153846153845,8.3462,0.0165,0.11981566820276499,0.1379,1,0.02,0.0023963133640553
min_sixers_was,713.8461538461538,8.1385,0.0169,0.1228733459357278,0.1379,0,0.02,0.002457466918714556
min_sd_was,646.025641025641,7.4603,0.0161,0.13404365011170305,0.1199,0,0.002,0.0002680873002234061
mia_ny_sixers,600.0,7.0,0.015,0.14285714285714285,0.1052,0,-0.013,-0.001857142857142857
mia_ny_sd,541.6666666666667,6.4167,0.0135,0.1558441558441558,0.0865,0,-0.031,-0.00483116883116883
ny_sd_was,440.59829059829065,5.406,0.01,0.18498023715415018,0.0541,0,-0.064,-0.011838735177865612
