event,ml_odds,dec_odds,bet,implied_prob,payout,override,profit,expected_value
min_sixers_was,1070.7692307692307,11.7077,0.01,0.08541392904073587,0.1171,1,0.022,0.001879106438896189
mia_min_sixers,866.0,9.66,0.0119,0.10351966873706005,0.1146,0,0.02,0.002070393374741201
mia_min_sd,785.5,8.855,0.0129,0.11293054771315642,0.1146,0,0.02,0.0022586109542631285
min_sd_was,646.025641025641,7.4603,0.0136,0.13404365011170305,0.1016,0,0.007,0.0009383055507819213
mia_ny_sixers,600.0,7.0,0.013,0.14285714285714285,0.091,0,-0.004,-0.0005714285714285714
mia_ny_sd,541.6666666666667,6.4167,0.0121,0.1558441558441558,0.0775,0,-0.017,-0.002649350649350649
ny_sixers_was,489.74358974358967,5.8974,0.0111,0.1695652173913044,0.0654,0,-0.029,-0.0049173913043478274
ny_sd_was,440.59829059829065,5.406,0.01,0.18498023715415018,0.0541,0,-0.041,-0.007584189723320158
