event,ml_odds,dec_odds,bet,implied_prob,payout,override,profit,expected_value
mia_min_sixers,866.0,9.66,0.0133,0.10351966873706005,0.1286,0,0.02,0.002070393374741201
mia_ny_sd,812.5000000000001,9.125,0.0141,0.10958904109589039,0.1286,1,0.02,0.002191780821917808
mia_min_sd,785.5,8.855,0.0145,0.11293054771315642,0.1286,0,0.02,0.0022586109542631285
min_sixers_was,713.8461538461538,8.1385,0.0158,0.1228733459357278,0.1286,0,0.02,0.002457466918714556
min_sd_was,646.025641025641,7.4603,0.0151,0.13404365011170305,0.1126,0,0.004,0.0005361746004468122
mia_ny_sixers,600.0,7.0,0.0142,0.14285714285714285,0.0995,0,-0.009,-0.0012857142857142856
ny_sixers_was,489.74358974358967,5.8974,0.0115,0.1695652173913044,0.0681,0,-0.04,-0.006782608695652176
ny_sd_was,440.59829059829065,5.406,0.01,0.18498023715415018,0.0541,0,-0.055,-0.01017391304347826
