event,ml_odds,dec_odds,bet,implied_prob,payout,override,profit,expected_value
mia_ny_sixers,900.0,10.0,0.0122,0.1,0.1216,1,0.02,0.002
mia_min_sixers,866.0,9.66,0.0126,0.10351966873706005,0.1216,0,0.02,0.002070393374741201
mia_min_sd,785.5,8.855,0.0137,0.11293054771315642,0.1216,0,0.02,0.0022586109542631285
min_sixers_was,713.8461538461538,8.1385,0.0149,0.1228733459357278,0.1216,0,0.02,0.002457466918714556
min_sd_was,646.025641025641,7.4603,0.0144,0.13404365011170305,0.1071,0,0.006,0.0008042619006702183
mia_ny_sd,541.6666666666667,6.4167,0.0125,0.1558441558441558,0.0802,0,-0.021,-0.003272727272727272
ny_sixers_was,489.74358974358967,5.8974,0.0113,0.1695652173913044,0.0668,0,-0.035,-0.005934782608695654
ny_sd_was,440.59829059829065,5.406,0.01,0.18498023715415018,0.0541,0,-0.048,-0.008879051383399209
