event,ml_odds,dec_odds,bet,implied_prob,payout,override,profit,expected_value
mia_min_sd,1178.25,12.7825,0.01,0.07823195775474281,0.1278,1,0.031,0.002425190690397027
mia_min_sixers,866.0,9.66,0.0121,0.10351966873706005,0.1169,0,0.02,0.002070393374741201
min_sixers_was,713.8461538461538,8.1385,0.0144,0.1228733459357278,0.1169,0,0.02,0.002457466918714556
min_sd_was,646.025641025641,7.4603,0.0139,0.13404365011170305,0.1035,0,0.007,0.0009383055507819213
mia_ny_sixers,600.0,7.0,0.0132,0.14285714285714285,0.0924,0,-0.005,-0.0007142857142857143
mia_ny_sd,541.6666666666667,6.4167,0.0122,0.1558441558441558,0.0784,0,-0.019,-0.0029610389610389603
ny_sixers_was,489.74358974358967,5.8974,0.0112,0.1695652173913044,0.0659,0,-0.031,-0.005256521739130437
ny_sd_was,440.59829059829065,5.406,0.01,0.18498023715415018,0.0541,0,-0.043,-0.007954150197628457
