event,ml_odds,dec_odds,bet,implied_prob,payout,override,profit,expected_value
min_sd_was,969.0384615384614,10.6904,0.011,0.09354200395754633,0.1176,1,0.02,0.0018708400791509266
mia_min_sixers,866.0,9.66,0.0122,0.10351966873706005,0.1176,0,0.02,0.002070393374741201
mia_min_sd,785.5,8.855,0.0133,0.11293054771315642,0.1176,0,0.02,0.0022586109542631285
min_sixers_was,713.8461538461538,8.1385,0.0145,0.1228733459357278,0.1176,0,0.02,0.002457466918714556
mia_ny_sixers,600.0,7.0,0.0133,0.14285714285714285,0.0928,0,-0.005,-0.0007142857142857143
mia_ny_sd,541.6666666666667,6.4167,0.0123,0.1558441558441558,0.0786,0,-0.019,-0.0029610389610389603
ny_sixers_was,489.74358974358967,5.8974,0.0112,0.1695652173913044,0.066,0,-0.032,-0.00542608695652174
ny_sd_was,440.59829059829065,5.406,0.01,0.18498023715415018,0.0541,0,-0.044,-0.008139130434782607
