event,ml_odds,dec_odds,bet,implied_prob,payout,override,profit,expected_value
mia_min_sixers,866.0,9.66,0.0134,0.10351966873706005,0.1297,0,0.02,0.002070393374741201
mia_min_sd,785.5,8.855,0.0146,0.11293054771315642,0.1297,0,0.02,0.0022586109542631285
min_sixers_was,713.8461538461538,8.1385,0.0159,0.1228733459357278,0.1297,0,0.02,0.002457466918714556
ny_sd_was,660.897435897436,7.609,0.0152,0.13142375737152484,0.116,1,0.006,0.0007885425442291491
min_sd_was,646.025641025641,7.4603,0.0149,0.13404365011170305,0.1111,0,0.001,0.00013404365011170305
mia_ny_sixers,600.0,7.0,0.0137,0.14285714285714285,0.0957,0,-0.014,-0.002
mia_ny_sd,541.6666666666667,6.4167,0.0119,0.1558441558441558,0.0763,0,-0.033,-0.005142857142857142
ny_sixers_was,489.74358974358967,5.8974,0.01,0.1695652173913044,0.059,0,-0.051,-0.008647826086956524
